Lead_Origin,Lead_Source,Do_Not_Email,Do_Not_Call,Converted,TotalVisits,Total_Time_On_Website,Page_Views_Per_Visit,Last_Activity,Specialization,Current_Occupation,Search,Newspaper_Article,X_Forums,Newspaper,Digital_Advertisement,Through_Recommendations,City,Free_Copy,Last_Notable_Activity
Landing_Page_Submission,Direct_Traffic,Yes,No,0,1,481,1,Email_Bounced,Business_Administration,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Bounced
API,Organic_Search,No,No,1,6,1012,6,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
API,Olark_Chat,No,No,0,0,0,0,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Referral_Sites,No,No,0,6,973,6,Email_Link_Clicked,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Google,No,No,1,6,1688,3,Page_Visited_on_Website,Marketing_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Page_Visited_on_Website
API,Organic_Search,No,No,0,3,98,3,Page_Visited_on_Website,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Google,No,No,0,1,233,1,Unreachable,Media_and_Advertising,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Google,No,No,0,4,377,1.33,Page_Visited_on_Website,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Google,No,No,1,1,1013,1,Converted_to_Lead,Banking_Investment_And_Insurance,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Google,No,No,0,4,771,4,Email_Link_Clicked,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Link_Clicked
API,Google,No,No,1,6,1137,1.5,Email_Opened,Marketing_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Email_Opened
Landing_Page_Submission,Google,No,No,1,3,1068,3,Form_Submitted_on_Website,Travel_and_Tourism,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Organic_Search,No,No,1,4,1000,2,Email_Opened,Finance_Management,Unemployed,No,No,No,No,No,No,Other_Cities,Yes,Email_Opened
Landing_Page_Submission,Google,No,No,1,6,1315,6,Email_Opened,Media_and_Advertising,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,No,0,5,182,5,Email_Opened,Others,Student,No,No,No,No,No,No,Mumbai,No,Email_Opened
API,Google,No,No,1,3,78,3,Unreachable,International_Business,Unemployed,No,No,No,No,No,No,Mumbai,No,Unreachable
Landing_Page_Submission,Direct_Traffic,No,No,1,7,1174,3.5,Email_Opened,Human_Resource_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Email_Opened
API,Google,No,No,0,3,88,1.5,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Referral_Sites,No,No,0,4,223,2,Page_Visited_on_Website,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Organic_Search,No,No,0,3,74,1.5,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Organic_Search,No,No,1,4,16,2,Page_Visited_on_Website,E-COMMERCE,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Modified
API,Referral_Sites,No,No,1,3,98,3,Email_Opened,Human_Resource_Management,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,No,Modified
Landing_Page_Submission,Google,No,No,0,4,1622,4,Unreachable,Operations_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Google,No,No,1,5,563,5,Email_Opened,Finance_Management,Working_Professional,No,No,No,No,No,No,Mumbai,No,Email_Opened
API,Google,No,No,0,2,310,2,Email_Link_Clicked,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Link_Clicked
Landing_Page_Submission,Google,No,No,1,4,25,4,Email_Opened,Operations_Management,Unemployed,No,No,No,No,No,No,Other_Cities_of_Maharashtra,No,Email_Opened
API,Direct_Traffic,No,No,0,3,342,3,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Organic_Search,Yes,No,0,7,38,7,Unsubscribed,Retail_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Unsubscribed
API,Google,No,No,0,5,199,5,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Google,No,No,0,5,222,5,Email_Opened,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,No,0,6,275,3,Email_Opened,Operations_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Email_Opened
Landing_Page_Submission,Google,No,No,0,4,287,2,Email_Opened,Marketing_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,No,0,2,547,2,Email_Opened,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Email_Opened
API,Olark_Chat,No,No,0,0,0,0,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Google,No,No,0,6,1225,6,Page_Visited_on_Website,Supply_Chain_Management,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,No,Modified
API,Olark_Chat,No,No,0,0,0,0,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Olark_Chat,No,No,1,0,0,0,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,No,Modified
Landing_Page_Submission,Google,No,No,0,5,160,5,Email_Opened,Business_Administration,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Organic_Search,No,No,0,6,394,2,Unreachable,E-COMMERCE,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Modified
API,Google,No,No,0,6,286,1.5,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Organic_Search,No,No,0,7,96,2.33,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
API,Organic_Search,No,No,0,2,12,2,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Referral_Sites,No,No,1,13,436,13,Form_Submitted_on_Website,IT_Projects_Management,Unemployed,No,No,No,No,No,No,Other_Metro_Cities,No,Modified
API,Referral_Sites,No,No,1,8,903,8,Page_Visited_on_Website,Finance_Management,Unemployed,No,No,No,No,No,No,Other_Cities_of_Maharashtra,No,Page_Visited_on_Website
Landing_Page_Submission,Organic_Search,No,No,0,17,409,8.5,Email_Opened,Human_Resource_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Modified
Landing_Page_Submission,Referral_Sites,No,No,0,11,685,5.5,Email_Opened,Services_Excellence,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,Yes,Email_Opened
API,Google,No,No,0,4,213,4,Form_Submitted_on_Website,International_Business,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Olark_Chat,No,No,0,0,0,0,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
API,Organic_Search,No,No,1,7,1468,3.5,Page_Visited_on_Website,Marketing_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Olark_Chat,No,No,0,0,0,0,Email_Link_Clicked,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,No,1,4,1435,4,Email_Opened,Operations_Management,Working_Professional,No,No,No,No,No,No,Other_Cities,Yes,Email_Opened
Landing_Page_Submission,Google,No,No,1,1,157,1,Converted_to_Lead,Hospitality_Management,Unemployed,No,No,No,No,No,No,Other_Cities_of_Maharashtra,No,Modified
API,Google,No,No,1,3,885,1.5,Had_a_Phone_Conversation,Operations_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Had_a_Phone_Conversation
API,Olark_Chat,No,No,1,0,0,0,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Other_Cities_of_Maharashtra,No,Modified
API,Olark_Chat,No,No,0,0,0,0,View_in_browser_link_Clicked,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Olark_Chat,No,No,0,0,0,0,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,No,0,1,1710,1,Converted_to_Lead,Retail_Management,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,Yes,Modified
Landing_Page_Submission,Direct_Traffic,No,No,0,4,219,4,Email_Opened,Business_Administration,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Referral_Sites,Yes,No,0,3,111,3,Email_Bounced,International_Business,Unemployed,No,No,No,No,No,No,Other_Metro_Cities,Yes,Modified
API,Organic_Search,No,No,0,6,224,6,Page_Visited_on_Website,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,No,0,5,224,1.67,Page_Visited_on_Website,Operations_Management,Unemployed,No,No,No,No,No,No,Other_Cities_of_Maharashtra,Yes,Page_Visited_on_Website
Landing_Page_Submission,Direct_Traffic,No,No,1,2,1071,2,Email_Opened,Marketing_Management,Unemployed,No,No,No,No,No,No,Other_Cities_of_Maharashtra,Yes,Email_Opened
Landing_Page_Submission,Google,No,No,1,6,595,3,Email_Opened,Banking_Investment_And_Insurance,Working_Professional,No,No,No,No,No,No,Mumbai,No,Email_Opened
Lead_Add_Form,Welingak_Website,No,No,1,3,1096,2,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Referral_Sites,No,No,0,4,520,4,Email_Opened,Operations_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Lead_Add_Form,Reference,No,No,1,3,705,2,Email_Opened,Hospitality_Management,Working_Professional,No,No,No,No,No,No,Thane_&_Outskirts,No,Modified
API,Google,No,No,0,2,393,2,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Lead_Add_Form,Welingak_Website,No,No,1,3,346,2,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Olark_Chat,No,No,1,0,0,0,Email_Link_Clicked,Operations_Management,Working_Professional,No,No,No,No,No,No,Mumbai,No,Email_Link_Clicked
API,Olark_Chat,No,No,0,0,0,0,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Google,No,No,1,3,1136,3,Page_Visited_on_Website,IT_Projects_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Referral_Sites,No,No,0,3,335,3,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Referral_Sites,No,No,0,4,75,4,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,No,0,6,97,3,Email_Opened,Supply_Chain_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Email_Opened
Lead_Add_Form,Reference,No,No,1,3,1007,2,Email_Opened,Human_Resource_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Organic_Search,No,No,0,2,1085,2,Converted_to_Lead,Rural_and_Agribusiness,Unemployed,No,No,No,No,No,No,Other_Cities_of_Maharashtra,Yes,Modified
API,Organic_Search,No,No,0,3,214,3,Page_Visited_on_Website,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Olark_Chat,No,No,1,6,1158,1.5,Email_Opened,Business_Administration,Unemployed,No,No,No,No,No,No,Other_Cities,Yes,Email_Opened
Landing_Page_Submission,Google,No,No,0,4,101,4,Email_Opened,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Google,No,No,0,9,838,4.5,Email_Opened,Healthcare_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,No,0,3,536,3,Unreachable,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Modified
Landing_Page_Submission,Direct_Traffic,No,No,0,4,161,2,Unreachable,Marketing_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Unreachable
Landing_Page_Submission,Google,No,No,0,2,511,2,Form_Submitted_on_Website,Healthcare_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Olark_Chat,No,No,0,0,0,0,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Google,No,No,1,5,1110,5,Olark_Chat_Conversation,Human_Resource_Management,Working_Professional,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,No,1,5,1563,5,Email_Opened,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Email_Opened
API,Referral_Sites,No,No,0,7,1633,3.5,Converted_to_Lead,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Olark_Chat,No,No,1,0,0,0,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Google,No,No,0,12,809,4,Unreachable,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,No,0,2,638,2,Page_Visited_on_Website,Healthcare_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Modified
API,Google,No,No,1,5,1196,5,Page_Visited_on_Website,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Organic_Search,No,No,0,6,1485,6,Email_Opened,Supply_Chain_Management,Unemployed,No,No,No,No,No,No,Other_Cities,Yes,Email_Opened
API,Google,No,No,0,9,125,3,Page_Visited_on_Website,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Google,No,No,1,3,165,3,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Google,No,No,0,6,398,3,Olark_Chat_Conversation,E-COMMERCE,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Olark_Chat_Conversation
API,Organic_Search,No,No,0,3,570,3,Converted_to_Lead,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Organic_Search,No,No,1,6,895,6,Email_Opened,Operations_Management,Unemployed,No,No,No,No,No,No,Other_Cities_of_Maharashtra,Yes,Email_Opened
Landing_Page_Submission,Google,No,No,1,4,1190,4,Email_Opened,Human_Resource_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Lead_Add_Form,Reference,No,No,1,0,0,0,Email_Link_Clicked,Business_Administration,Working_Professional,No,No,No,No,No,No,Mumbai,No,Email_Link_Clicked
API,Direct_Traffic,No,No,0,5,1566,5,Converted_to_Lead,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Google,No,No,1,5,727,5,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,No,Email_Opened
Landing_Page_Submission,Google,No,No,0,8,652,4,Unreachable,Hospitality_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Organic_Search,No,No,0,4,1248,1.33,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
API,Google,No,No,0,2,767,2,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Referral_Sites,No,No,0,10,275,3.33,Page_Visited_on_Website,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Page_Visited_on_Website
API,Organic_Search,No,No,0,3,273,3,Converted_to_Lead,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Lead_Add_Form,Reference,No,No,1,3,1111,2,Email_Opened,Marketing_Management,Working_Professional,No,No,No,No,No,No,Other_Cities,No,Modified
Landing_Page_Submission,Google,No,No,0,8,277,4,Email_Opened,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
API,Organic_Search,No,No,1,3,1207,1.5,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Google,No,No,0,2,39,1,Converted_to_Lead,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Google,No,No,0,4,1638,4,Email_Opened,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Email_Opened
API,Referral_Sites,No,No,0,16,53,16,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,No,0,1,127,1,Converted_to_Lead,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Modified
Landing_Page_Submission,Organic_Search,Yes,No,0,5,100,5,Page_Visited_on_Website,Supply_Chain_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Modified
Landing_Page_Submission,Google,Yes,No,0,4,323,4,Unsubscribed,International_Business,Unemployed,No,No,No,No,No,No,Mumbai,No,Unsubscribed
API,Google,No,No,1,2,160,1,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Lead_Add_Form,Reference,No,No,1,0,0,0,Email_Opened,Marketing_Management,Businessman,No,No,No,No,No,No,Mumbai,No,Modified
API,Google,No,No,0,1,263,1,Converted_to_Lead,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Google,No,No,0,2,1218,2,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Lead_Add_Form,Reference,No,No,1,3,986,2,Email_Opened,Marketing_Management,Working_Professional,No,No,No,No,No,No,Mumbai,No,Modified
Lead_Add_Form,Welingak_Website,No,No,1,3,889,2,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Google,No,No,1,5,1091,5,Unreachable,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Unreachable
Landing_Page_Submission,Direct_Traffic,No,No,0,4,291,4,Olark_Chat_Conversation,Supply_Chain_Management,Unemployed,No,No,No,No,No,No,Other_Cities,Yes,Modified
Lead_Add_Form,Reference,No,No,1,0,0,0,Email_Opened,Hospitality_Management,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,No,Modified
API,Google,Yes,No,0,1,1759,1,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Olark_Chat_Conversation
Landing_Page_Submission,Referral_Sites,No,No,0,7,41,3.5,Email_Opened,Services_Excellence,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Email_Opened
Landing_Page_Submission,Google,No,No,0,5,386,5,Email_Opened,Business_Administration,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,No,Modified
API,Referral_Sites,No,No,0,6,216,2,Page_Visited_on_Website,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Page_Visited_on_Website
Landing_Page_Submission,Google,No,No,1,5,1603,5,Email_Opened,Operations_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,google,No,No,0,7,106,3.5,Page_Visited_on_Website,Others,Unemployed,No,No,No,No,No,No,Other_Cities,No,Modified
API,Google,No,No,0,2,73,2,Unreachable,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Google,No,No,0,2,77,2,Converted_to_Lead,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,No,0,3,718,3,Unreachable,Hospitality_Management,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,Yes,Modified
Landing_Page_Submission,Google,No,No,0,5,432,1.67,Olark_Chat_Conversation,Marketing_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Olark_Chat_Conversation
Landing_Page_Submission,Google,No,No,0,5,232,2.5,Email_Opened,Human_Resource_Management,Unemployed,No,No,No,No,No,No,Other_Cities,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,No,0,2,702,2,Email_Opened,Hospitality_Management,Unemployed,No,No,No,No,No,No,Other_Cities,Yes,Email_Opened
Landing_Page_Submission,Organic_Search,No,No,1,5,614,5,Unreachable,Finance_Management,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,Yes,Unreachable
Landing_Page_Submission,Direct_Traffic,No,No,1,1,1808,1,Converted_to_Lead,IT_Projects_Management,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,Yes,Modified
Landing_Page_Submission,Direct_Traffic,Yes,No,0,2,234,1,Email_Bounced,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Modified
Landing_Page_Submission,Direct_Traffic,No,No,0,3,245,3,Unreachable,Finance_Management,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,Yes,Modified
Landing_Page_Submission,Organic_Search,No,No,1,8,1268,4,Email_Opened,Operations_Management,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Email_Opened
Landing_Page_Submission,Google,No,No,0,2,56,2,Email_Bounced,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Referral_Sites,No,No,0,4,174,2,Email_Link_Clicked,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,No,0,4,1149,2,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,No,0,2,333,2,Email_Opened,E-COMMERCE,Unemployed,No,No,No,No,No,No,Other_Cities,Yes,Email_Opened
API,Organic_Search,No,No,0,7,471,2.33,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,No,1,3,1010,3,Email_Opened,Supply_Chain_Management,Unemployed,No,No,No,No,No,No,Other_Metro_Cities,Yes,Email_Opened
API,Olark_Chat,No,No,1,10,1815,3.33,Had_a_Phone_Conversation,Operations_Management,Unemployed,No,No,No,No,No,No,Other_Cities_of_Maharashtra,Yes,Had_a_Phone_Conversation
Landing_Page_Submission,Direct_Traffic,No,No,0,2,47,2,Email_Link_Clicked,Business_Administration,Unemployed,No,No,No,No,No,No,Other_Cities,Yes,Email_Link_Clicked
Landing_Page_Submission,Direct_Traffic,No,No,1,3,1528,1.5,Email_Opened,Operations_Management,Unemployed,No,No,No,No,No,No,Other_Cities,Yes,Modified
Landing_Page_Submission,Google,No,No,1,6,919,6,Email_Opened,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
API,Organic_Search,No,No,0,10,194,5,Email_Link_Clicked,Media_and_Advertising,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Organic_Search,No,No,0,1,1173,1,Converted_to_Lead,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Google,No,No,0,2,351,2,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Referral_Sites,No,No,0,12,493,12,Email_Link_Clicked,Marketing_Management,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,Yes,Email_Link_Clicked
Landing_Page_Submission,Direct_Traffic,No,No,0,3,381,1.5,Page_Visited_on_Website,Operations_Management,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,Yes,Page_Visited_on_Website
API,Referral_Sites,No,No,0,2,1944,2,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Google,No,No,0,5,65,5,Unreachable,Human_Resource_Management,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,No,Modified
API,Organic_Search,No,No,0,7,1334,7,Email_Opened,Business_Administration,Unemployed,No,No,No,No,No,No,Mumbai,Yes,Modified
API,Google,No,No,0,7,615,7,Form_Submitted_on_Website,Banking_Investment_And_Insurance,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,No,Modified
Lead_Add_Form,Reference,No,No,1,0,0,0,Email_Opened,Finance_Management,Working_Professional,No,No,No,No,No,No,Mumbai,No,Email_Opened
API,Google,No,No,0,1,250,1,Email_Bounced,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,No,0,2,383,2,Email_Link_Clicked,Business_Administration,Unemployed,No,No,No,No,No,No,Other_Metro_Cities,Yes,Email_Link_Clicked
Lead_Add_Form,Welingak_Website,No,No,1,3,1240,2,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Lead_Add_Form,Reference,No,No,1,0,0,0,Email_Opened,Banking_Investment_And_Insurance,Working_Professional,No,No,No,No,No,No,Mumbai,No,Email_Opened
Lead_Add_Form,Welingak_Website,No,No,1,3,458,2,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Lead_Add_Form,Welingak_Website,No,No,1,3,1060,2,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Olark_Chat,No,No,0,0,0,0,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Referral_Sites,No,No,0,4,904,4,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
